Standard,Section,topic_title,topic_sequence,prereq_title,prereq_category,subtopic_title,subtopic_video,quiz_type,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Find the degree of the polynomial: 7x^3 + 4x^2 - 5x + 9,,,,,3,,Easy
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Write the degree of the polynomial: 3,,,,,0,,Easy
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Find the degree of: -2x^5 + x^3 - x + 1,,,,,5,,Easy
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,What is the degree of the polynomial: 4x^4 - 7x^2 + x,,,,,4,,Easy
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Find the degree of: √2x^2 + 3x + 1,,,,,2,,Medium
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Determine the degree of the polynomial: x^7 - 3x^5 + x^2,,,,,7,,Medium
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Find the degree of: 5x(x^2 + 3x + 1),,,,,3,,Medium
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,What is the degree of the polynomial: (x^3 - 2x)^2,,,,,6,,Hard
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Find the degree of: 6x^4y^2 + 3x^2y^5,,,,,6,,Hard
Grade 9,Section A,Polynomials,1,Algebra-basics,Major,Degree of Polynomial,,Subtopic,Determine the degree of the polynomial: 9x^3 - 4x^3 + x,,,,,3,,Easy
